Nr.;Anrede;Titel;Vorname;Nachname;Geburtsdatum;Straße;Hausnummer;Postleitzahl;Stadt;Telefon;Mobil;EMail;Newsletter
212;Herr;;Reinulf;Waldschmidt;15.02.1975;Petersberg;31;24361;Groß Wittensee;04356/9003767;0160/9410903;reinulfwaldschmidt@validmail.none;
213;Frau;;Barbara;Grüninger;;Eschlohner Straße;146;94110;Wegscheid;08592/47466127;0165/1189950;barbara.grueninger@mymail.none;
214;Frau;Dr.;Christella;Zimpel;;Balthasar-Neumann-Straße;186;78730;Lauterbach;;0150/1537554;;
215;Frau;;Burgunde;Rosenboom;16.07.1991;Oberer Sonnenhang;41;24229;Strande;04349/57239180;;b_91@live-mail.none;
216;Frau;;Damaris;Schwaab;;Am Südhang;128;49824;Emlichheim;;0152/6527917;damaris_schwaab@quickmail.none;
217;k.A.;;Eberhard;Seemann;;Voerder Straße;87;55592;Breitenheim;;0155/2860567;eseemann@company.none;
218;Herr;;Seppl;Stommel;05.07.1989;Weitefelder Garten;88;54472;Monzelfeld;06531/61679151;0154/3357454;s-stommel@domain.none;
219;Herr;;Wennemar;Fechter;;Josef-Suwelack-Weg;63;86745;Hohenaltheim;09081/33120821;;;
220;Herr;;Leonhard;Nebelung;;Hepperichstraße;177;61200;Wölfersheim;06036/55540585;0160/5102353;leonhard-1903@retromail.none;
221;Herr;;Can;Redemann;25.04.1964;Kastanienring;191;55411;Bingen am Rhein;06721/48523540;0162/1833403;can.redemann@domain.none;ja
222;Frau;;Siegharda;Hampel;;Schlick;126;19089;Bülow;03863/48661216;0153/6937794;s.hampel@ultramail.none;
223;Frau;;Alyssa;Horbach;;Hauer Heide;15;94424;Arnstorf;08723/6885858;0170/8715852;alyssa.horbach@spam-mail.none;
224;Herr;Prof.;Eduardt;Proft;;Am Dorn;83;82272;Moorenweis;08146/30984974;0176/1508388;e.proft@net-mail.none;nein
225;Frau;;Jolina;Matthes;;Behlesheck;53;67806;Bisterschied;06364/50958971;0156/9290076;;nein
226;Frau;;Evelyne;Ende;18.03.2007;Wochenendgebiet;167;54422;Züsch;06503/51536427;0153/4489028;evelyneende@quickmail.none;nein
227;k.A.;;Heimfrid;Kauth;;Siebenbürgenstraße;87;56370;Wasenbach;06432/75377000;;heimfridkauth@trashmail.none;
228;Frau;;Dorle;Janisch;;Uellendahler Straße;145;38302;Wolfenbüttel;05331/94335013;0153/9650620;dorle_janisch@hoster.none;ja
229;Herr;;Heiko;Stempfle;;Am Stollen;67;54316;Schöndorf;;0160/2035756;h.stempfle@goggle-mail.none;
230;Herr;;Tim;Klingebiel;;Rheinhöhe;109;78250;Tengen;07736/27497645;0163/6842252;t-klingebiel@web.none;
231;Herr;;Gismar;Markmann;;In der Steinhecke;37;47198;Homberg;02066/92730437;0174/3442582;gmarkmann@kitty.none;
232;Frau;;Sigune;Shelton;;Wiesenhof;152;54689;Reipeldingen;06550/56265424;0165/4559814;sigune-shelton@quickmail.none;
233;Herr;;Ludolf;Pantel;;Rhedung;177;38170;Schöppenstedt;05332/77174557;0177/4824051;;
234;k.A.;;Annehilde;Ulbrich;07.01.1949;Basselweg;143;86922;Sankt Ottilien;08193/99172255;;;ja
235;Frau;;Reinlinde;Colon;;Elzerhofstraße;34;57612;Isert;02681/93732534;;reinlindecolon@retromail.none;
236;Herr;;Randolph;Schwenzer;;Am Steinacker;136;72221;Haiterbach;07456/61375771;0164/7843720;r-schwenzer@quickmail.none;ja
237;Frau;;Emmaliese;Schilder;;Allensteiner Straße;47;21259;Otter;04182/56950555;;e_1947@web.none;ja
238;Herr;;Horst;Kaplan;13.06.1954;Hildesheimer Straße;137;23775;Großenbrode;;;h-1954@xyz.none;
239;Frau;;Nelli;Brauch;;Auf der Köhne;21;56479;Hellenhahn-Schellenberg;;;;
240;Herr;;Jo;Steffan;;Nürburger Weg;38;65399;Kiedrich;06123/91905093;0169/1883695;j-steffan@ultramail.none;
241;k.A.;;Monika;Wörmann;;Bachgasse;87;54533;Dierfeld;06572/95557781;0173/2044023;monika-woermann@kitty.none;nein
242;Herr;;Burghard;Sieler;;Friedrichstraße;162;71711;Steinheim an der Murr;07144/55475163;0165/5761957;;
243;Frau;Prof.;Gerhild;Bamberger;31.01.1988;Krokusstraße;114;47669;Wachtendonk;02836/72983147;;g_bamberger@bestmail.none;
244;Frau;;Jolina;Barker;;Winner Weg;150;56076;Koblenz am Rhein;0261/21063247;0153/6661672;j2016@spam-mail.none;
245;Frau;;Edelinde;Schönemann;;Bertramsweg;37;74924;Neckarbischofsheim;07263/38180448;0179/3173807;edelinde-schoenemann@quickmail.none;ja
246;Herr;;Herold;Klemann;;Siedenberger Straße;63;94259;Kirchberg;;0173/1505514;h1999@inter-mail.none;ja
247;Frau;;Annelene;Haberl;20.08.1962;Schlägel-und-Eisen-Straße;168;56865;Schauren;06542/38812499;0179/7579043;annelenehaberl@inter-mail.none;
248;k.A.;;Henri;Obermeier;17.02.1923;Pater-Delp-Straße;93;03205;Bolschwitz;;0174/7551214;henriobermeier@domain.none;
249;Herr;;Wiglaf;Pham;;Janningsweg;109;21684;Stade;04141/87970462;0175/3660289;wiglaf_pham@email.none;nein
250;Frau;;Amy;Mainka;;Auf dem Kamp;127;47647;Kerken;02833/82256658;0172/8757874;amymainka@kitty.none;
251;Herr;;Borwin;Tewes;;Dellegarten;133;25551;Schlotfeld;04826/74025970;;borwin.tewes@spam-mail.none;
252;Frau;;Helmtrud;Gnauck;;Habbeler Straße;93 c;67753;Reipoltskirchen;06304/69327691;0155/4583723;h.gnauck@trashmail.none;
253;Frau;;Mariola;Benedikt;03.07.1990;Gladbecker Straße;92;64380;Roßdorf;06154/84539025;0152/7479737;;nein
254;Frau;;Luitgart;Unterberg;;Torstraße;69;57258;Freudenberg;02734/70626614;0172/3060097;l.unterberg@private.none;
255;Frau;;Linn;Welch;;Bleichweg;43;29227;Celle;05141/81049117;0170/6709741;;nein
256;Frau;;Liebgard;Schnitker;30.10.1934;Eiserfelder Straße;136;44628;Herne;02323/64867653;0176/4495793;liebgard-schnitker@retromail.none;
257;Frau;;Irmgarda;Pelzer;;Moselweg;160;47166;Duisburg;;;i_1971@hoster.none;
258;Herr;;Gottwaldt;Baldus;;Horionstraße;8;50672;Köln;0221/26347349;0172/7604951;gottwaldtbaldus@hoster.none;
259;Frau;;Leopoldina;Sladek;;Vom-Stein-Straße;144;73660;Urbach;07181/56277160;;l_sladek@web.none;
260;Herr;;Elmar;Stamm;;Hainer Weg;7;67297;Marnheim;06352/15045428;0171/5646673;elmar-stamm@live-mail.none;
261;Frau;;Ariane;Laß;;Hölzerne Ecke;77;25746;Ostrohe;0481/86335931;;;
262;Frau;;Hannelene;Schröer;;Merseburger Straße;198;40668;Meerbusch;;0160/2364751;h_1943@goggle-mail.none;
263;Frau;;Sibyl;Träger;12.05.1950;Römerstraße;81;67271;Mertesheim;06359/63326969;0150/9705385;sibyl_1950@ultramail.none;
264;Frau;;Erika;Scheerer;12.09.2016;Hövelstraße;108;86934;Reichling;08194/5764184;0155/8034092;erika_scheerer@funmail.none;
265;Frau;;Lilian;Oelke;;Brehmacker;175;33106;Paderborn;05251/36165409;;;
266;Frau;Dr.;Emely;Martinez;;Ulrichstraße;42;84189;Wurmsham;08745/81508594;0150/5237672;emelymartinez@retromail.none;
267;Frau;;Carlotta;Remmert;09.07.1970;Bahnstraße;107;73560;Böbingen an der Rems;07173/50811494;;c_1970@open-mail.none;
268;k.A.;;Reinhardt;Brieden;;Heinrich-von-Gagern-Straße;62;21483;Krukow;;0177/8208591;reinhardt-brieden@net-mail.none;ja
269;Herr;;Emmeran;Lewin;;Angerstraße;117;56288;Alterkülz;;0161/9560009;elewin@trashmail.none;ja
270;Herr;;Ottobert;Parr;;Güstener Straße;88;32479;Hille;05703/42836956;0177/1113991;ottobert11@quickmail.none;ja
271;Frau;;Dorette;Neukirch;;Pestalozziring;116b;56589;Niederbreitbach;02638/30411244;0169/2880973;dorette_neukirch@anymail.none;
272;Frau;;Stina;Walton;;Waldemarstraße;125;55569;Nußbaum;06751/27397445;0152/7241468;s.walton@goggle-mail.none;
273;Frau;;Gunhild;Oetjen;;Gottfriedweg;180;89191;Nellingen;07337/31084340;0162/9020538;gunhild-1940@domain.none;
274;Frau;;Leandra;Rix;;Hohenfriedeberger Straße;43;37647;Polle;05535/62236757;0168/7738413;leandra-rix@anymail.none;
275;Frau;;Käthi;Grabner;;Heisterner Weg;24;23795;Schwissel;04552/16185425;0164/4301715;kaethi2000@quickmail.none;
276;Frau;;Runhild;Fowler;;Vor der Loos;199;67489;Kirrweiler;;;r.fowler@xyz.none;ja
277;Frau;;Richarda;Drexl;;Am Kurpark;17;38685;Langelsheim;05326/26207248;0160/3123002;richardadrexl@bestmail.none;ja
278;Herr;;Leander;Süss;;Schäferspesch;65;26203;Wardenburg;04407/12680708;0155/6734331;leander.suess@email.none;
279;Herr;;Gerdfried;Pfützner;;Zum Heidentempel;77;31595;Steyerberg;05764/88697493;0179/1772275;g.pfuetzner@bestmail.none;ja
280;Frau;;Linn;Stieger;;Kerkenberg;119;29475;Gorleben;05882/72424416;;linn1943@justmail.none;
281;Frau;;Wendelgard;Brzoska;;Düsterfeld;51;56729;Weiler;02651/98957418;0162/1852435;wendelgard_brzoska@xyz.none;ja
282;Herr;;Friedhold;Mahlberg;;Heroldstraße;75;52064;Aachen;0241/75449748;;f_mahlberg@private.none;ja
283;Herr;;Ekkehard;Schwer;;Ginsterheide;136;67705;Trippstadt;06306/90975848;0171/8276459;e_schwer@justmail.none;ja
284;Frau;;Mechtilde;Gohr;;Wuppermannstraße;36;35390;Gießen;0641/87703904;0154/1242331;;
285;Herr;;Helwig;Drexler;;Einsteinstraße;139;24329;Rantzau;04522/45741493;0176/1678925;helwig_drexler@spam-mail.none;
286;Frau;;Ivonne;Hupe;;Seilandstraße;14;94369;Rain;09429/82238680;0165/5422093;;nein
287;Frau;;Peggy;Herbers;;Höfchen;50;14471;Potsdam;0331/31037928;;peggy-herbers@email.none;ja
288;Herr;;Ingowart;Leinweber;;Seutenstraße;175;24649;Wiemersdorf;04192/41434426;0169/6808967;ingowart-leinweber@justmail.none;ja
289;Herr;;Pankraz;Sachs;;Riehenhaar;123;55758;Allenbach;06786/90481638;;pankraz-1916@spam-mail.none;ja
290;Herr;;Hildemar;Stempel;17.02.1918;Postenweg;110;60433;Frankfurt am Main;069/36014394;0159/1828185;h18@inter-mail.none;
291;Frau;;Ehrentraud;Laske;25.07.2012;Immelmannstraße;34;54552;Kradenbach;06592/68792230;0156/8855812;ehrentraud12@mymail.none;ja
292;Herr;;Friedhart;Haucke;;Oberlöh;149;21640;Bliedersdorf;04163/85825027;0175/3756150;;ja
293;Herr;;Finn;Gümüs;;Kälberbitze;120;25358;Sommerland;04126/28817952;0177/4449098;f_guemues@trashmail.none;nein
294;Herr;;Hieronimus;Plagemann;05.12.1976;Hepperichstraße;91;54314;Greimerath;06589/49143037;;h-plagemann@private.none;nein
295;Frau;;Heidrun;Ay;;Bleidenberger Weg;69;37181;Hardegsen;05505/49384789;0151/5770770;heidrunay@quickmail.none;ja
296;Herr;;Arno;Rinck;;Kissbergstraße;16c;88682;Salem;;;a.rinck@hoster.none;ja
297;Herr;;Hansotto;Küper;;Zum Kalkofen;66;23774;Heiligenhafen;04362/8402460;0179/4388410;h18@open-mail.none;
298;Herr;;Lewin;Schaffer;23.07.1920;Am Wiesbrunnen;99;56357;Oelsberg;06772/94357271;;lewin_schaffer@goggle-mail.none;
299;Frau;;Rotraut;Nußbaumer;;Birkhofstraße;182;39307;Schlagenthin;;;rotraut-nussbaumer@net-mail.none;
300;Frau;;Felicitas;Krisch;01.07.1974;Rüdesheimer Straße;4;17194;Vielist;03991/3094452;;fkrisch@retromail.none;
301;Frau;;Filippina;Engelmann;;Tiefurter Allee;63;24808;Jevenstedt;04337/44961126;0175/7839248;filippina-engelmann@email.none;ja
302;Frau;;Samira;Sack;;Werdohler Straße;113;42275;Wuppertal;0202/55002228;0155/9932502;samira.sack@net-mail.none;
303;Herr;;Brandolf;Prahl;26.04.1920;Eickener Straße;184;23898;Labenz;;0178/5391731;b_1920@spam-mail.none;
304;Frau;;Rosalie;Thome;24.09.1921;Zechenstraße;45 a;65606;Villmar;;;rosalie_1921@quickmail.none;
305;k.A.;;Nils;Lottmann;;Devensstraße;169;56564;Neuwied;02631/19422185;0152/9419713;nils-lottmann@funmail.none;ja
306;Frau;;Nina;Lier;15.11.1903;Havelstraße;154;31174;Schellerten;05123/21425223;0157/6359130;nina-03@kitty.none;ja
307;Frau;;Elsa;Krall;;Wagnerstraße;143;86480;Aletshausen;08282/60230148;;elsa-krall@retromail.none;ja
308;k.A.;;Frohmund;Höcker;;Hochkamerstraße;130;25887;Winnert;04841/92591687;0156/4105063;f-hoecker@xyz.none;ja
309;Frau;;Irmhild;Kramm;21.09.1992;Rosenhof;78;66793;Saarwellingen;06838/49001772;;irmhildkramm@company.none;
310;Herr;;Detrich;Heumann;;Auf der Glate;6;55777;Eckersweiler;06783/80245826;;detrichheumann@goggle-mail.none;ja
311;Frau;;Lysann;Küppers;;Am Hartzberg;178;47445;Moers;02841/74770417;;lysann1921@goggle-mail.none;
312;Herr;;Gebhart;Mahlstedt;26.11.1945;Auf Peschhelle;1;95362;Kupferberg;;;gebhart.mahlstedt@company.none;
313;Herr;Dr.;Warnfried;Eicher;;Holzbachstraße;69;76835;Flemlingen;06323/49593666;0170/4287328;w_eicher@email.none;ja
314;Herr;;Gotthelf;Hodapp;;Steinbachstraße;67;85410;Haag an der Amper;08167/50295105;;g.hodapp@email.none;
315;k.A.;;Reinar;Grimme;;Lünkerhohl;108;92447;Höfen;09675/91367850;;reinar-grimme@domain.none;
316;Frau;;Thusnelda;Reinbold;;Drosselweg;107;75059;Zaisenhausen;07258/39809145;0160/5791102;;ja
317;Herr;;Volkart;Lehmann;;Nachtigallenweg;75;95359;Kasendorf;09228/64764957;0162/7249518;volkart-1993@company.none;ja
318;Herr;;Albert;Falk;;Am Wimberg;38;71642;Ludwigsburg;07141/855291;;;
319;Herr;;Helmward;Goetze;;Kleine Schwerter Straße;128;90587;Veitsbronn;0911/50371498;;hgoetze@mymail.none;
320;Herr;;Quintus;Weigt;;Donnenstraße;161;48703;Stadtlohn;02563/45957922;;quintus_weigt@net-mail.none;ja
321;Herr;;Robert;Reuss;;Friedrich-Karl-Straße;24;42655;Solingen;0212/75155557;;;
322;Frau;;Adeltraud;Norden;;In der Oberwies;199;83256;Chiemsee;;0172/2078909;adeltraud-1988@open-mail.none;nein
323;Frau;;Nadja;Mang;18.11.1911;Schultenstraße;144;88499;Altheim;;0158/4655120;nadja-mang@web.none;
324;Frau;;Monica;Kreher;;Holthauser Straße;55;25563;Föhrden-Barl;04192/60718543;0152/5903624;monicakreher@net-mail.none;
325;Frau;;Heidelore;Konietzny;;Odenkirchener Straße;117;24321;Hohwacht;04381/14889497;0166/7103433;;
326;Herr;;Mike;Schedler;;Gutenbergstraße;51;63931;Kirchzell;;0150/1497676;mike_schedler@quickmail.none;
327;k.A.;;Carolin;Ruppenthal;;Baal;80;61118;Bad Vilbel;06101/58137563;0161/4553665;carolin82@web.none;
328;Frau;;Herwiga;Spaniol;;Wilhelm-Külz-Straße;200;55296;Lörzweiler;06135/75857450;0155/3851510;herwigaspaniol@xyz.none;
329;Frau;;Arabella;Goldberg;;Klingenhagener Straße;82;29410;Hansestadt Salzwedel;03901/12895228;0163/2778760;a.goldberg@live-mail.none;nein
330;Frau;;Fee;Ruppelt;;Strücken;38;25876;Ramstedt;;;f.ruppelt@live-mail.none;ja
331;k.A.;;Laurens;Schultz;;Schildstraße;197a;91802;Meinheim;09146/79069788;0166/9651989;laurens_schultz@inter-mail.none;ja
332;Herr;;Nic;Kind;;Hanauer Weg;24;67816;Standenbühl;06357/39512210;0179/9940833;nic_18@domain.none;
333;Frau;;Annegold;Daiber;04.04.2000;Thilhove;28;54612;Lasel;06551/7169008;;a_daiber@live-mail.none;nein
334;Herr;;Henrik;Pöschel;;Albertstraße;132;56295;Rüber;02654/94135890;0155/8523401;h_2006@xyz.none;
335;k.A.;;Berthold;Gerlinger;;Im Glockenschall;172;23909;Albsfelde;04541/63474025;;bertholdgerlinger@justmail.none;nein
336;Frau;;Marei;Thoma;;Am Bungert;2;40219;Düsseldorf;0211/52185903;0154/2392312;marei.thoma@web.none;ja
337;Frau;;Annegold;Theil;;Orsoyer Straße;41c;24598;Heidmühlen;;0163/7281750;annegoldtheil@company.none;ja
338;Herr;;Dominik;Ohnesorge;;Julie-Postel-Straße;27;39120;Magdeburg;;0157/7429739;d-ohnesorge@hoster.none;
339;Frau;;Eveline;Herre;08.02.1980;Hellenpfad;158;21481;Lauenburg;04153/27806387;0173/2915071;eveline-herre@justmail.none;
340;k.A.;;Henri;Schmiedel;25.03.1994;Schenkstraße;127;38368;Mariental;05357/48663764;0178/8192995;henrischmiedel@web.none;
341;Frau;;Amalia;Bornemann;;Untermarkstraße;200;67365;Schwegenheim;06344/67923124;0176/6210381;amaliabornemann@company.none;
342;Herr;;Ansbert;Schmidberger;;Sandkuhle;14;65326;Aarbergen;06120/23817190;0170/9946728;ansbertschmidberger@bestmail.none;
343;Frau;;Gertraude;Frommelt;;Schubertstraße;43;57612;Hemmelzen;02681/27668575;0165/1907050;;
344;Frau;;Burga;Coleman;;Horsterstraße;85;66589;Merchweiler;06825/71267124;0154/9782689;burga_10@hoster.none;ja
345;Frau;;Magdalene;Stolle;;Servatiusstraße;153;67808;Falkenstein;06302/91596283;0175/4568336;mstolle@web.none;
346;Frau;;Harda;Jungnickel;;Ringallee;53;59387;Ascheberg;02593/38630019;0151/5996063;h.jungnickel@mymail.none;
347;Frau;;Marielies;Gatz;;Schulweg;106;73252;Lenningen;;0156/4781825;marielies_gatz@hoster.none;
348;Herr;;Anton;Wenning;01.08.1979;Haderthalweg;102;56357;Bogel;;0156/2021984;awenning@mymail.none;
349;Frau;Dr.;Monika;Nentwig;;Am Lauterbach;154;73072;Donzdorf;07162/17911967;;m-nentwig@justmail.none;
350;Frau;;Annekäthe;Demirci;;Gertrudisstraße;90;23898;Lüchow;04536/47825251;0162/8992265;annekaethe.demirci@net-mail.none;
351;Herr;;Severin;Reinheimer;10.02.1953;Sayner Straße;130;25899;Bosbüll;04663/12986573;0150/6227102;severin-reinheimer@mymail.none;
352;Herr;;Hansjörn;Klapproth;;Alter Markt;85;55490;Woppenroth;06763/80203147;0168/2798185;hansjoern-klapproth@web.none;
353;Frau;;Kora;Lay;;Bernhardtstraße;33;51465;Bergisch Gladbach;02202/85674506;0178/2712432;kora.lay@net-mail.none;
354;Frau;;Birgitta;Lohse;;Rennbahnstraße;90 c;60314;Frankfurt am Main;069/17601767;0172/9124933;birgitta-lohse@quickmail.none;ja
355;Frau;;Reinhild;Dollinger;31.10.1947;Brucknerstraße;50;89250;Senden;;;reinhild.1947@private.none;
356;Frau;;Jasmin;Campbell;26.05.1936;Hohlbachweg;67;76751;Jockgrim;07271/75077778;0164/9579427;jasmin.campbell@validmail.none;
357;Frau;;Annebärbel;Wambach;10.08.1989;Martinsstraße;188;25836;Grothusenkoog;;0169/7880471;a.wambach@retromail.none;ja
358;Herr;;Vitalis;Biber;02.02.1931;Seeburger Straße;48;66996;Fischbach;06391/53035804;0175/5438977;vitalis.biber@xyz.none;
359;Frau;;Annkathrin;Engelking;;Merler Ring;117;29342;Wienhausen;;0160/2292440;annkathrin_engelking@inter-mail.none;ja
360;Herr;;Erk;Neufeld;;Bäderstraße;130;91161;Hilpoltstein;09174/93866586;0156/1180278;erk_neufeld@funmail.none;
361;Frau;;Gunda;Richards;;Briedener Weg;39;32758;Detmold;05231/47065978;;g.richards@inter-mail.none;
362;Frau;;Jeannine;Oehler;;Soetenkamp;19;53533;Dorsel;;;jeannine-1916@kitty.none;
363;k.A.;;Lindemarie;Sandra;;Bredenscheider Straße;190;26427;Moorweg;04971/36812867;;;ja
364;Herr;;Florentius;Eberwein;;Bergdahlsweg;92;49843;Getelo;05942/2258684;;;
365;Frau;;Berenike;Utz;;Rühlscherweg;1;85395;Wolfersdorf;;0176/4429009;butz@company.none;
366;Frau;;Hermine;Kieme;;Kemptener Straße;170;24582;Bissee;04322/59946424;;hermine.kieme@net-mail.none;
367;k.A.;Prof. Dr. Dr.;Irmgardt;Rebmann;08.06.1945;Hutteneichenweg;167;17219;Groß Flotow;03962/24832209;0158/3969311;irmgardt.rebmann@ultramail.none;ja
368;Herr;;Tiemo;Karatas;;Siedlungsweg;7;86709;Wolferstadt;;0174/1370122;tiemo_karatas@validmail.none;
369;Frau;;Gisa;Mettler;;Jan-de-Beyer-Straße;75;95447;Bayreuth;;;;
370;Herr;;Wiegbert;Sprengel;;Schulkamp;82;31707;Heeßen;05722/55359465;0166/7909264;wiegbert_1953@quickmail.none;
371;Herr;;Jeremie;Skiba;;Gustav-Werner-Straße;167;76698;Ubstadt-Weiher;07251/7233625;;j-2000@net-mail.none;ja
372;Herr;;Hildebert;Bruckmann;09.11.1972;Merschkamp;95;19089;Wessin;03863/11536597;0164/8800793;hildebert_bruckmann@net-mail.none;ja
373;k.A.;;Xenia;Kron;20.01.1989;Hochkamerstraße;137;27624;Kührstedt;;;xeniakron@open-mail.none;
374;k.A.;;Phil;Andre;;Stadtstiege;17;72818;Trochtelfingen;07124/86163823;;phil_andre@web.none;nein
375;k.A.;;Kristin;Klemke;;Winterbachstraße;152;31167;Bockenem;05067/39403212;;;
376;Frau;;Siska;Nowotny;;Ilsenstraße;29;10365;Berlin;030/74431565;0155/4370247;siska-94@xyz.none;ja
377;Frau;;Finnja;Bambach;;August-Wörner-Straße;112;35315;Homberg;06633/24776723;0168/1854544;;ja
378;Herr;;Trutz;Folger;;Am Haggarten;157;49688;Lastrup;04472/91108812;0178/1757852;trutzfolger@spam-mail.none;ja
379;Frau;;Hannelore;Lüders;;An der Brücke;190;91484;Sugenheim;09165/72552965;0165/5152825;hannelore_lueders@spam-mail.none;ja
380;Frau;;Cäzilie;Kring;05.03.1919;Kröver Straße;184;56346;Prath;06771/53442701;0167/9423769;caeziliekring@domain.none;nein
381;Herr;;Phil;Rosner;;Arnheimweg;174;66957;Vinningen;06331/59784995;0178/7373526;phil-08@trashmail.none;
382;Herr;;Götz;Mederer;;Preußenstraße;128;26524;Halbemond;;;g_mederer@trashmail.none;ja
383;Frau;;Sahra;König;31.05.1936;Böwingring;80;56290;Gödenroth;;;s_koenig@goggle-mail.none;
384;Herr;;Hansjürgen;Kulzer;18.09.1952;Steineckstraße;107;83607;Holzkirchen;08024/46780400;0152/8148984;hansjuergen-kulzer@open-mail.none;ja
385;Frau;;Nathalie;Paschen;16.03.1913;Kellereistraße;77;74592;Kirchberg an der Jagst;;0155/6901022;;
386;Frau;;Waldtraud;Thormann;;Im Freundsborn;34;45279;Essen;0201/49501937;0169/9357189;wthormann@validmail.none;
387;Frau;;Vanessa;Weiland;;Am Rott;105;66917;Biedershausen;06375/98212372;0167/7931613;vanessa-88@mymail.none;
388;Frau;;Hildburga;Stenz;;Nevigeser Straße;153;67659;Kaiserslautern;;0167/6940151;hildburgastenz@goggle-mail.none;ja
389;Frau;;Huldine;Richards;;Unter den Eichen;51;56856;Zell;06542/89374116;0165/7647434;huldine_richards@hoster.none;
390;Herr;;Danny;Musiol;;Gilgenborn;50;55597;Gumbsheim;06703/5699456;0165/5662063;dmusiol@quickmail.none;
391;Frau;;Hannetraud;Heeren;;Oehndorfstraße;56;56645;Nickenich;;0167/4868186;h_1980@bestmail.none;ja
392;Frau;;Frohlinde;Tiedtke;;Wachtendonker Straße;77;84567;Erlbach;08670/1271829;0153/5307785;;
393;Herr;;Maximillian;Rötzer;26.07.1998;Oesterberg;14;14163;Steglitz-Zehlendorf;;;maximillianroetzer@live-mail.none;
394;Herr;;Heiderich;Classen;;Augustenstraße;109;36132;Eiterfeld;06672/9082156;;heiderichclassen@validmail.none;
395;Herr;;Rutger;Ertel;;Gänsberg;82;57612;Ingelbach;02681/40040988;0150/6414259;rutger.ertel@mymail.none;ja
396;Herr;;Erik;Bischoff;28.09.1943;Osemundstraße;118;57234;Wilnsdorf;02739/21562976;0162/2133566;erik-bischoff@company.none;
397;Herr;;Irmo;Westermann;;Stotzheimer Straße;1;56295;Lonnig;02654/54146169;0150/8992826;;
398;Frau;;Aileen;Jaensch;;Windmühlenstraße;29;83254;Breitbrunn am Chiemsee;08054/88775085;0159/3156792;aileenjaensch@domain.none;nein
399;k.A.;;Annika;Höck;;Serkenroder Straße;109;59609;Anröchte;02947/26836353;0173/4267166;annika-hoeck@validmail.none;
400;Herr;;Leonhardt;Hilbert;03.09.1957;Bischof-Blum-Straße;161;63110;Rodgau;06106/95118212;;l57@retromail.none;ja
401;Frau;;Selin;Kahrs;;Garzweiler Allee;4;42859;Remscheid;02191/77516589;0155/2412993;selinkahrs@trashmail.none;
402;Frau;;Minna;Weil;;Heiligenstock;70;85665;Moosach;08091/1707516;0150/8068961;minnaweil@email.none;ja
403;Frau;;Reintraut;Siefert;;Malmedystraße;6;17498;Hinrichshagen;03834/62697701;0174/4030358;reintrautsiefert@domain.none;
404;Herr;;Herbert;Girke;;Hehler;53;35327;Ulrichstein;06645/79697740;0158/3840929;;ja
405;Herr;;Marfried;Witzel;25.01.1969;Am Kissel;179;49757;Vrees;;0176/4901548;marfried_witzel@open-mail.none;
406;Herr;;Wulf;Runde;31.01.2019;Gerstenkamp;5;72537;Mehrstetten;07381/73687268;;wulf.runde@xyz.none;
407;Herr;;Aron;Teller;24.05.2015;Reichswaldstraße;2;34388;Trendelburg;05675/31434605;0163/1522494;aronteller@validmail.none;ja
408;Herr;;Leon;Bautz;;Diefenauer Weg;116;66909;Hüffler;06383/44317324;0156/5363613;leon_42@validmail.none;
409;Herr;;Christhelm;Morina;;Am Ginsterhahn;169;55296;Harxheim;06135/3228752;0160/1261890;c_64@kitty.none;nein
410;k.A.;;Sigrid;Weigt;07.02.2017;Max-Reger-Straße;182;19069;Lübstorf;03867/88681450;0178/5086374;sweigt@goggle-mail.none;
411;Herr;;Dominik;Pfau;07.05.1932;An der Bundesstraße;17;86866;Mickhausen;;0158/8109142;dpfau@bestmail.none;
412;Frau;Dr.;Friedlind;Brust;;Holsteiner Straße;197;57562;Herdorf;02744/88604840;0179/5137145;friedlind.brust@justmail.none;ja
413;Herr;;Sepp;Welte;;Baumberger Straße;1;71144;Steinenbronn;07157/4197762;;sepp-welte@justmail.none;ja
414;Herr;;Freimuth;Böcher;;Im Weingarten;144;35091;Cölbe;06421/22619806;0171/7989770;freimuth-boecher@email.none;ja
415;k.A.;;Meinolf;Radmacher;;Im Sande;151;09456;Annaberg-Buchholz;03733/28355652;0178/1587229;meinolf.radmacher@domain.none;
416;Frau;;Liliane;Figueroa;;Holunderweg;77;75179;Pforzheim;07231/84892134;0169/6841534;lilianefigueroa@private.none;
417;k.A.;;Utz;Hartl;;An de Geest;164;06543;Stangerode;;0160/2182935;utz.hartl@validmail.none;
418;Frau;;Siegrun;Schranz;28.12.1990;Thiergartenstraße;36;26579;Baltrum;04939/27160270;0163/4900203;siegrun.schranz@xyz.none;
419;Herr;;Finn;Rosenberg;;Am Lindchen;64;54552;Üdersdorf;06596/44618694;0157/5039630;frosenberg@private.none;ja
420;Herr;;Tell;Scheuer;;Koloniestraße;133;79822;Titisee-Neustadt;;0169/6602357;tell_scheuer@open-mail.none;
421;Frau;;Janin;Niehoff;;Fuchsstraße;133;83454;Anger;08656/69491687;0154/4238292;j.niehoff@spam-mail.none;ja
422;Herr;;Erwin;Lamprecht;;Cochemer Straße;105;54534;Musweiler;06572/98595588;;erwinlamprecht@trashmail.none;
